FID,Join_Count,TARGET_FID,Fatalities,PedFatalit,BikeFatali,MVOFatalit,MN,YR,NODEID,Lon,Lat,STREET1,STREET2
160,1,160,1,1,0,0,10,2016,42513,-73.93761714946588,40.8127403642717,WEST 135 STREET,5 AVENUE
161,1,161,1,1,0,0,10,2016,31820,-73.84279053417374,40.67061512594457,ALBERT ROAD,CROSS BAY BOULEVARD
162,1,162,1,1,0,0,10,2016,43109,-73.91475121068925,40.8252004737543,COURTLANDT AVENUE,EAST 162 STREET
163,1,163,1,1,0,0,10,2016,44769,-73.90903950883258,40.86267886374998,WEST FORDHAM ROAD,SEDGWICK AVENUE
164,1,164,1,1,0,0,10,2016,17422,-73.96616959816116,40.624655791682045,AVENUE J,EAST 10 STREET
165,1,165,1,1,0,0,10,2016,23781,-73.94571187572019,40.7778600060022,EAST 89 STREET,YORK AVENUE
166,1,166,1,1,0,0,10,2016,24397,-73.94442545587347,40.834680768386654,BROADWAY,WEST 158 STREET
167,1,167,1,1,0,0,10,2016,21775,-73.97875234941867,40.71993370627531,COLUMBIA STREET,EAST HOUSTON STREET
168,1,168,1,1,0,0,10,2016,47512,-73.88753429574601,40.82250933973449,LONGFELLOW AVENUE,BRUCKNER BOULEVARD
169,1,169,1,1,0,0,11,2016,42922,-73.92288629831951,40.809105864112475,WILLIS AVENUE,EAST 138 STREET
170,1,170,1,0,0,1,11,2016,23352,-73.97502203796788,40.79021184541608,BROADWAY,WEST 89 STREET
171,1,171,1,1,0,0,11,2016,50884,-73.86140668513265,40.74930741291533,104 STREET,41 AVENUE
172,1,172,1,1,0,0,11,2016,43510,-73.93639683106362,40.84954119476038,BROADWAY,WEST 180 STREET
173,1,173,1,1,0,0,11,2016,49462,-73.89776669125598,40.890509390275376,BROADWAY,MANHATTAN COLLEGE PARKWAY
174,1,174,1,1,0,0,11,2016,27013,-73.92295908106409,40.684147662199074,RALPH AVENUE,MACON STREET
175,1,175,1,0,0,1,11,2016,16607,-73.96514385226226,40.591101915226865,OCEAN PARKWAY,AVENUE X
176,1,176,1,1,0,0,11,2016,42369,-73.91177880054754,40.77359531296172,33 STREET,23 AVENUE
177,1,177,1,0,0,1,11,2016,54180,-73.85994111472536,40.88266434313721,BARNES AVENUE,EAST 219 STREET
178,1,178,1,1,0,0,11,2016,21517,-73.98088709853619,40.753480989043744,EAST 42 STREET,5 AVENUE
179,1,179,1,1,0,0,11,2016,13361,-74.00365199799865,40.61704115630564,76 STREET,15 AVENUE
180,1,180,1,1,0,0,11,2016,54341,-73.85538662495124,40.89887621319616,NEREID AVENUE,RICHARDSON AVENUE
181,1,181,1,1,0,0,11,2016,49049,-73.88273658833434,40.86604857226394,BEDFORD PARK BOULEVARD,SOUTHERN BOULEVARD
182,1,182,1,0,0,1,12,2015,40715,-73.93470451354045,40.717208821996664,VANDERVOORT AVENUE,MASPETH AVENUE
183,1,183,1,1,0,0,12,2015,21478,-73.9856467780215,40.762914873641854,8 AVENUE,WEST 51 STREET
184,1,184,1,1,0,0,12,2015,12836,-73.99482296324584,40.59976449399263,BAY 31 STREET,BENSON AVENUE
185,1,185,1,1,0,0,12,2015,5175,-74.12811697158308,40.55653443672827,HYLAN BOULEVARD,BUFFALO STREET
